date,home_team,away_team,home_elo_pre,away_elo_pre,elo_k,source,source_file
2022-01-01,Thailand,Indonesia,1548.1849465255775,1425.200635707059,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-02,Gabon,Burkina Faso,1506.626065633788,1580.8250287855635,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-02,Sudan,Zimbabwe,1399.4219012121491,1471.4232464370468,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-03,Rwanda,Guinea,1435.0190767094948,1521.0471917657044,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-04,Mauritania,Gabon,1452.5199463658976,1498.7297975103222,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-05,Algeria,Ghana,1759.4280488157033,1654.047072869024,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-06,Rwanda,Guinea,1447.4457727496963,1508.620495725503,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-09,Cameroon,Burkina Faso,1661.3320601974024,1588.7212969090292,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-09,Ethiopia,Cape Verde,1468.6179848757088,1545.644114249485,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-10,Comoros,Gabon,1400.5226279961619,1497.40755857252,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-10,Guinea,Malawi,1516.877718641763,1431.6088261196476,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-10,Morocco,Ghana,1737.6710329502494,1646.9904683210827,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-10,Senegal,Zimbabwe,1731.1149805222517,1469.3800474712125,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-11,Algeria,Sierra Leone,1766.4846533636446,1445.7835510328289,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-11,Nigeria,Egypt,1667.4405130799153,1697.7886997151245,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-11,Sudan,Guinea-Bissau,1401.4651001779835,1435.53208542601,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-12,Equatorial Guinea,Ivory Coast,1471.2147259922267,1682.6733684826936,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-12,Iceland,Uganda,1588.9533211250352,1528.8901308477834,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-12,Mauritania,Gambia,1453.8421853036998,1452.3220376539166,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-12,Tunisia,Mali,1684.7759801384886,1602.8056338410154,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-13,Cameroon,Ethiopia,1669.272059063614,1460.799353233411,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-13,Cape Verde,Burkina Faso,1553.4627458917828,1580.7812980428175,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-14,Gabon,Ghana,1504.6890875097938,1639.5427712893663,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-14,Malawi,Zimbabwe,1424.0149459431748,1465.751383244262,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-14,Morocco,Comoros,1745.1187299819658,1393.241099058888,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-14,Senegal,Guinea,1734.7436447492023,1524.4715988182359,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-15,Guinea-Bissau,Egypt,1434.554689100596,1686.9174234689112,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-15,Nigeria,Sudan,1678.3117893261285,1402.4424965033975,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-15,South Korea,Iceland,1777.3913315415318,1587.2415820249337,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-16,Algeria,Equatorial Guinea,1759.2112731220366,1466.646324138316,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-16,Colombia,Honduras,1819.936341641587,1563.514392515552,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-16,Gambia,Mali,1462.3657907411894,1615.122108239278,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-16,Ivory Coast,Sierra Leone,1687.2417703366043,1453.056931274437,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-16,Peru,Panama,1735.493200429742,1624.7701492267984,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-16,Tunisia,Mauritania,1672.459505740226,1443.798432216427,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-17,Burkina Faso,Ethiopia,1589.9966233334892,1456.1700814495114,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-17,Cameroon,Cape Verde,1673.9013308475137,1544.2474206011111,20,calculated_from_international_results,data/raw/matches/international_results.csv
2022-01-18,Gabon,Morocco,1508.386644705151,1747.4496143798387,20,calculated_from_international_results,data/raw/matches/international_results.csv
