year,match_id,date,stage,group,team_a,team_b,score_status,score_a,score_b,actual_result,pred_result,pred_p_team_a,pred_p_draw,pred_p_team_b,lambda_team_a,lambda_team_b,pred_score_a,pred_score_b,pred_score,pred_score_probability,odds_aggregate_method,n_bookmakers,total_goals_prior
2026,WC2026_001,2026-06-11,Group A,Group A,Mexico,South Africa,final,2,0,A,A,0.6892132187485193,0.1985259832227276,0.11226079802875322,1.9883258110590296,0.6527921240507232,1,0,1-0,0.1417309195985765,NA,NA,2.779298660657857
2026,WC2026_002,2026-06-11,Group A,Group A,South Korea,Czech Republic,final,2,1,A,A,0.5099720859869492,0.26647195818013464,0.22355595583291624,1.457457827548388,0.865882545028164,1,0,1-0,0.14275196452569336,NA,NA,2.513288512347572
2026,WC2026_007,2026-06-12,Group B,Group B,Canada,Bosnia & Herzegovina,final,1,1,D,A,0.6511164851155291,0.2149942623881176,0.13388925249635333,1.869326191305271,0.7051147707860247,1,0,1-0,0.14243594036255336,NA,NA,2.7114984445351142
2026,WC2026_019,2026-06-12,Group D,Group D,USA,Paraguay,final,4,1,A,A,0.45416749200519785,0.28420816777568936,0.2616243402191127,1.292673738675681,0.9075187839794098,1,0,1-0,0.14320476016255293,NA,NA,2.446664074905942
2026,WC2026_008,2026-06-13,Group B,Group B,Qatar,Switzerland,final,1,1,D,B,0.0248298868026013,0.10391101141432016,0.8712591017830785,0.2788847888711514,2.612783132740503,0,2,0-2,0.18938313870213064,median_complete_bookmakers,5,2.806205850106753
2026,WC2026_013,2026-06-13,Group C,Group C,Brazil,Morocco,final,1,1,D,A,0.5605604464022832,0.25123093446224504,0.18820861913547177,1.5874495362691827,0.8001437279880018,1,0,1-0,0.14580799855267243,median_complete_bookmakers,8,2.496135986258054
2026,WC2026_014,2026-06-13,Group C,Group C,Haiti,Scotland,final,0,1,B,B,0.17195993539119264,0.2269675316113312,0.6010725329974762,0.8468619297646289,1.8073000209536476,0,1,0-1,0.12715761229772082,median_complete_bookmakers,8,2.6016538588643927
2026,WC2026_020,2026-06-13,Group D,Group D,Australia,Turkey,final,2,0,A,B,0.2176688149402922,0.26178294710042194,0.5205482379592858,0.866518296488466,1.4981120083128985,0,1,0-1,0.14079861800705823,median_complete_bookmakers,8,2.4063289321084107
2026,WC2026_025,2026-06-14,Group E,Group E,Germany,Curaçao,final,7,1,A,A,0.9059857326827632,0.07571383661658206,0.01830043070065475,3.035928679977764,0.29474589729119377,3,0,3-0,0.16681298521864596,median_complete_bookmakers,8,3.293562030640202
2026,WC2026_026,2026-06-14,Group E,Group E,Ivory Coast,Ecuador,final,1,0,A,B,0.27865330309628417,0.2953679258122465,0.4259787710914693,0.9058579695603948,1.1940034483099389,0,1,0-1,0.14623366156988396,median_complete_bookmakers,8,2.5583977517254275
2026,WC2026_031,2026-06-14,Group F,Group F,Netherlands,Japan,final,2,2,D,A,0.4616898654197387,0.2746993426204098,0.2636107919598515,1.3639494824942604,0.9583262806589342,1,0,1-0,0.1337355093060626,median_complete_bookmakers,8,2.3754530662902567
2026,WC2026_032,2026-06-14,Group F,Group F,Sweden,Tunisia,final,5,1,A,A,0.49478362784776975,0.270652831091836,0.23456354106039431,1.418448138398551,0.8845280570870009,1,0,1-0,0.14178934882671448,median_complete_bookmakers,8,2.430570535146662
2026,WC2026_037,2026-06-15,Group G,Group G,Belgium,Egypt,scheduled,NA,NA,NA,A,0.5920844587029209,0.23475309467069944,0.1731624466263796,1.729787476342585,0.8119324506425002,1,0,1-0,0.13618767625546904,median_complete_bookmakers,8,2.6173456391844594
2026,WC2026_038,2026-06-15,Group G,Group G,Iran,New Zealand,scheduled,NA,NA,NA,A,0.557822239597235,0.2444981128236493,0.1976796475791158,1.6515889267448571,0.8726863261108461,1,0,1-0,0.13231928617469824,median_complete_bookmakers,8,2.7925608034713925
2026,WC2026_043,2026-06-15,Group H,Group H,Spain,Cape Verde,scheduled,NA,NA,NA,A,0.8718124839971628,0.0960231093192426,0.03216440668359463,2.895819583442143,0.42180607966663985,2,0,2-0,0.15194502585319694,median_complete_bookmakers,8,3.304193371037909
2026,WC2026_044,2026-06-15,Group H,Group H,Saudi Arabia,Uruguay,scheduled,NA,NA,NA,B,0.1350515393007314,0.2102463473949319,0.6547021133043367,0.7349206138976077,1.9222726179164695,0,1,0-1,0.13483747825119144,median_complete_bookmakers,8,2.742574627926543
2026,WC2026_049,2026-06-16,Group I,Group I,France,Senegal,scheduled,NA,NA,NA,A,0.645587215552932,0.21483350724920605,0.1395792771978619,1.882957990445917,0.7378858660151127,1,0,1-0,0.1369691012460706,median_complete_bookmakers,8,2.6921408449060986
