local_path,url,accessed_at,size_bytes,checksum_sha256
data/raw/elo/world_football_elo.csv,NA,NA,7454847,bbd6033100e5df122697eacc44b1eb12cf793e757475146ee5491f4bca19f7e7
data/raw/elo/world_football_elo_external_current.tsv,https://www.eloratings.net/World.tsv,2026-06-15T17:14:01Z,30487,9813578ad96756c8c98078f95572a7f3939d0875cd553985610537f2cbc038ea
data/raw/elo/world_football_elo_external_teams.tsv,https://eloratings.net/en.teams.tsv,2026-06-15T17:14:02Z,7277,ff4b8c9c7bcdad56e81a007726c1a655c6dabdf77bca151b1d619f24125dbc90
data/raw/matches/international_results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-13T18:59:59Z,3724391,d707e5527d2cb0e5a87925b56e9e4fc96513f1fba8b0ca704609d9e98889b8e1
data/raw/matches/openfootball_worldcup_2022.txt,https://raw.githubusercontent.com/openfootball/worldcup/master/2022--qatar/cup.txt,2026-06-13T18:59:58Z,8301,37b3a3027f954f2b9dca76a7a8946cb04ee85d3227058fe79defd7d0d764917b
data/raw/matches/openfootball_worldcup_2022_finals.txt,https://raw.githubusercontent.com/openfootball/worldcup/master/2022--qatar/cup_finals.txt,2026-06-13T18:59:58Z,3261,4eabfd0d7cb78164e123cad8ecfe0afd4349ed4c4092c2602b2b4327421db0b6
data/raw/matches/openfootball_worldcup_2026.txt,https://raw.githubusercontent.com/openfootball/worldcup/master/2026--usa/cup.txt,2026-06-15T17:32:23Z,9165,4caf7b43f9a42c165737d5d2d054c0db787d345836c0ca4c5a1a94cfb4e2f164
data/raw/matches/openfootball_worldcup_2026_finals.txt,https://raw.githubusercontent.com/openfootball/worldcup/master/2026--usa/cup_finals.txt,2026-06-15T17:32:23Z,2415,d5b8dc1ee3c06c65ad6bf71f6bbf7fcb4c9acc465999b08b49a3c86238b96db8
data/raw/metadata/auditoria_coleta_resumo.csv,NA,NA,159,d4b50a7f972e5e70f2935461dc8fe1c97a1a6fd3eeab5c14e96412d430bf4a85
data/raw/metadata/data_access_log.csv,NA,NA,5831,6568191a1c9e6736e9968d56e3b91172328b721e6a8068c3347d1cb7cb906880
data/raw/metadata/decisoes_coleta.md,NA,NA,1413,5e84838017c8a93ea91efc5f8406c621934db9fb2cb0d3f1c0a268ebba071f15
data/raw/metadata/estrutura_pastas.csv,NA,NA,289,8d39af0e15276e5c77d73ef555f7f6948a98f9a9e0ebb2224241c8a7437c1886
data/raw/metadata/fontes_dados.csv,NA,NA,2428,ad31450490e1ae049a5fcc13880fdbaeb97d4ba6fda897fd88e7c2e1d812fbf5
data/raw/metadata/jogos_sem_odds.csv,NA,NA,1010,30293b31b660941c5d6519cfb7673c0644b284e1982ed9bd6ab01b177bbc895a
data/raw/metadata/oddschecker_match_urls.csv,NA,NA,7530,d3f07882fdf1949ab90af335c19a3bd2e8e6c01cbc7e65d52620e5141e294f4f
data/raw/metadata/oddschecker_status.csv,NA,NA,3050,e5f6346c4b556ede38fcff6a9a5432b4b841875a6a156f4d62e97c1574e308db
data/raw/metadata/openfootball_coverage_status.csv,NA,NA,92,a74cd2259b82b80402c1450d9494e687701d42ea31dd6d8b7f6dd9e08882e90f
data/raw/metadata/raw_data_manifest.csv,NA,NA,12764,89cd5ab8ac13f53b518226316ddd6b9b0250c4cdb6db1c9a2eef284dc6073923
data/raw/metadata/the_odds_api_status.csv,NA,NA,415,320dad6f09f556791d48f1739ef60d846e9b26c89e946751ed6d98f98898b403
data/raw/odds/football_data_worldcup.xlsx,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-13T19:10:11Z,143990,777652ce1a400aabbbb5778f306311f36197b7e382ff87d5077b5a017473ae72
data/raw/odds/oddschecker/algeria-v-austria.html,NA,NA,1266847,66dc1fd38966f67cfe1e634a3e254060e885b2a81c1c40f1f4a29bf5f6e14142
data/raw/odds/oddschecker/argentina-v-algeria.html,NA,NA,2098688,7e6438e4fe93fe898c0d51f1d6f0d460407b86bab92ff7c1dd88f8b707ba0f95
data/raw/odds/oddschecker/argentina-v-austria.html,NA,NA,1286273,284a60fa554a692d4bb432cd01546bdb39c95cedcaa94c6e739e96002db7db6c
